Unnamed: 0,label,MainText,Cleaned_Text,Tokens
43,phishing,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,phony award todays voda numbers ending xxxx are selected to receive a award if you have a match please call quoting claim code standard rates app,"['phony', 'award', 'todays', 'voda', 'numbers', 'ending', 'xxxx', 'are', 'selected', 'to', 'receive', 'a', 'award', 'if', 'you', 'have', 'a', 'match', 'please', 'call', 'quoting', 'claim', 'code', 'standard', 'rates', 'app']"
44,ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,can help u swoop by picking u up from wherever ur other birds r meeting if u want,"['can', 'help', 'u', 'swoop', 'by', 'picking', 'u', 'up', 'from', 'wherever', 'ur', 'other', 'birds', 'r', 'meeting', 'if', 'u', 'want']"
45,ham,Ok lor�whats up�,ok lor whats up,"['ok', 'lor', 'whats', 'up']"
46,ham,Hello madam how are you ?,hello madam how are you,"['hello', 'madam', 'how', 'are', 'you']"
47,ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,was actually sleeping and still might when u call back so a text is gr you rock sis will send u a text wen i wake,"['was', 'actually', 'sleeping', 'and', 'still', 'might', 'when', 'u', 'call', 'back', 'so', 'a', 'text', 'is', 'gr', 'you', 'rock', 'sis', 'will', 'send', 'u', 'a', 'text', 'wen', 'i', 'wake']"
48,ham,Good. do you think you could send me some pix? I would love to see your top and bottom...,good do you think you could send me some pix i would love to see your top and bottom,"['good', 'do', 'you', 'think', 'you', 'could', 'send', 'me', 'some', 'pix', 'i', 'would', 'love', 'to', 'see', 'your', 'top', 'and', 'bottom']"
49,phishing,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,apple id buxcxgbvwwccod final notification your apple d is due to expire today prevent this by confirming your apple id at apple inc,"['apple', 'id', 'buxcxgbvwwccod', 'final', 'notification', 'your', 'apple', 'd', 'is', 'due', 'to', 'expire', 'today', 'prevent', 'this', 'by', 'confirming', 'your', 'apple', 'id', 'at', 'apple', 'inc']"
50,ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,hey mate hows u honey did u ave good holiday gimmi de goss x,"['hey', 'mate', 'hows', 'u', 'honey', 'did', 'u', 'ave', 'good', 'holiday', 'gimmi', 'de', 'goss', 'x']"
51,ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",i don t have anybody s number i still haven t thought up a tactful way to ask alex,"['i', 'don', 't', 'have', 'anybody', 's', 'number', 'i', 'still', 'haven', 't', 'thought', 'up', 'a', 'tactful', 'way', 'to', 'ask', 'alex']"
52,ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",i m taking derek amp taylor to walmart if i m not back by the time you re done just leave the mouse on my desk and i ll text you when priscilla s ready,"['i', 'm', 'taking', 'derek', 'amp', 'taylor', 'to', 'walmart', 'if', 'i', 'm', 'not', 'back', 'by', 'the', 'time', 'you', 're', 'done', 'just', 'leave', 'the', 'mouse', 'on', 'my', 'desk', 'and', 'i', 'll', 'text', 'you', 'when', 'priscilla', 's', 'ready']"
53,ham,Ok..let me knw,ok let me knw,"['ok', 'let', 'me', 'knw']"
54,ham,You are a very very very very bad girl. Or lady.,you are a very very very very bad girl or lady,"['you', 'are', 'a', 'very', 'very', 'very', 'very', 'bad', 'girl', 'or', 'lady']"
55,phishing,	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending are selected to receive a award if you have a match please call quoting claim code standard rates app,"['todays', 'voda', 'numbers', 'ending', 'are', 'selected', 'to', 'receive', 'a', 'award', 'if', 'you', 'have', 'a', 'match', 'please', 'call', 'quoting', 'claim', 'code', 'standard', 'rates', 'app']"
56,ham,K then 2marrow are you coming to class.,k then marrow are you coming to class,"['k', 'then', 'marrow', 'are', 'you', 'coming', 'to', 'class']"
57,ham,Kallis wont bat in 2nd innings.,kallis wont bat in nd innings,"['kallis', 'wont', 'bat', 'in', 'nd', 'innings']"
58,ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�,meeting u is my work tel me when shall i do my work tomorrow that is what matters,"['meeting', 'u', 'is', 'my', 'work', 'tel', 'me', 'when', 'shall', 'i', 'do', 'my', 'work', 'tomorrow', 'that', 'is', 'what', 'matters']"
59,phishing,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,overcome programming challenges for multicore and learn the techniques to scale reliability attend intel session at pm at microsoft community techdays,"['overcome', 'programming', 'challenges', 'for', 'multicore', 'and', 'learn', 'the', 'techniques', 'to', 'scale', 'reliability', 'attend', 'intel', 'session', 'at', 'pm', 'at', 'microsoft', 'community', 'techdays']"
60,ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",haha my legs and neck are killing me and my amigos are hoping to end the night with a burn think i could swing by in like an hour,"['haha', 'my', 'legs', 'and', 'neck', 'are', 'killing', 'me', 'and', 'my', 'amigos', 'are', 'hoping', 'to', 'end', 'the', 'night', 'with', 'a', 'burn', 'think', 'i', 'could', 'swing', 'by', 'in', 'like', 'an', 'hour']"
61,ham,Every day i use to sleep after  &lt;#&gt;  so only.,every day i use to sleep after lt gt so only,"['every', 'day', 'i', 'use', 'to', 'sleep', 'after', 'lt', 'gt', 'so', 'only']"
62,ham,"Sorry, have urgent work..",sorry have urgent work,"['sorry', 'have', 'urgent', 'work']"
63,ham,Good Morning plz call me sir..I have an urgent work..,good morning plz call me sir i have an urgent work,"['good', 'morning', 'plz', 'call', 'me', 'sir', 'i', 'have', 'an', 'urgent', 'work']"
64,ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,oh shut it omg yesterday i had a dream that i had kids both boys i was so pissed not only about the kids but them being boys i even told mark in my dream that he was changing diapers cause i m not getting owed in the face,"['oh', 'shut', 'it', 'omg', 'yesterday', 'i', 'had', 'a', 'dream', 'that', 'i', 'had', 'kids', 'both', 'boys', 'i', 'was', 'so', 'pissed', 'not', 'only', 'about', 'the', 'kids', 'but', 'them', 'being', 'boys', 'i', 'even', 'told', 'mark', 'in', 'my', 'dream', 'that', 'he', 'was', 'changing', 'diapers', 'cause', 'i', 'm', 'not', 'getting', 'owed', 'in', 'the', 'face']"
65,ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",ahhhh just woken up had a bad dream about u tho so i dont like u right now i didnt know anything about comedy night but i guess im up for it,"['ahhhh', 'just', 'woken', 'up', 'had', 'a', 'bad', 'dream', 'about', 'u', 'tho', 'so', 'i', 'dont', 'like', 'u', 'right', 'now', 'i', 'didnt', 'know', 'anything', 'about', 'comedy', 'night', 'but', 'i', 'guess', 'im', 'up', 'for', 'it']"
66,ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,its hard to believe things like this all can say lie but think twice before saying anything to me,"['its', 'hard', 'to', 'believe', 'things', 'like', 'this', 'all', 'can', 'say', 'lie', 'but', 'think', 'twice', 'before', 'saying', 'anything', 'to', 'me']"
67,ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),wow didn t think it was that common i take it all back ur not a freak unless u chop it off,"['wow', 'didn', 't', 'think', 'it', 'was', 'that', 'common', 'i', 'take', 'it', 'all', 'back', 'ur', 'not', 'a', 'freak', 'unless', 'u', 'chop', 'it', 'off']"
68,phishing,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",free top polyphonic tones call national rate get a toppoly tune sent every week just text subpoly to per pole unsub,"['free', 'top', 'polyphonic', 'tones', 'call', 'national', 'rate', 'get', 'a', 'toppoly', 'tune', 'sent', 'every', 'week', 'just', 'text', 'subpoly', 'to', 'per', 'pole', 'unsub']"
69,ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,yup he msg me is tat yijue then i tot it s my group mate cos we meeting today mah i m askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far,"['yup', 'he', 'msg', 'me', 'is', 'tat', 'yijue', 'then', 'i', 'tot', 'it', 's', 'my', 'group', 'mate', 'cos', 'we', 'meeting', 'today', 'mah', 'i', 'm', 'askin', 'if', 'ü', 'leaving', 'earlier', 'or', 'wat', 'mah', 'cos', 'mayb', 'ü', 'haf', 'to', 'walk', 'v', 'far']"
70,ham,You need to get up. Now.,you need to get up now,"['you', 'need', 'to', 'get', 'up', 'now']"
71,phishing,	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,you have an important customer service announcement call freephone now,"['you', 'have', 'an', 'important', 'customer', 'service', 'announcement', 'call', 'freephone', 'now']"
72,ham,Howz pain?hope u r fine..,howz pain hope u r fine,"['howz', 'pain', 'hope', 'u', 'r', 'fine']"
73,ham,Love it! The girls at the office may wonder why you are smiling but sore...,love it the girls at the office may wonder why you are smiling but sore,"['love', 'it', 'the', 'girls', 'at', 'the', 'office', 'may', 'wonder', 'why', 'you', 'are', 'smiling', 'but', 'sore']"
74,phishing,	<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,forwarded from please call immediately as there is an urgent message waiting for you,"['forwarded', 'from', 'please', 'call', 'immediately', 'as', 'there', 'is', 'an', 'urgent', 'message', 'waiting', 'for', 'you']"
75,ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,it s still not working and this time i also tried adding zeros that was the savings the checking is lt gt,"['it', 's', 'still', 'not', 'working', 'and', 'this', 'time', 'i', 'also', 'tried', 'adding', 'zeros', 'that', 'was', 'the', 'savings', 'the', 'checking', 'is', 'lt', 'gt']"
76,ham,how's things? Just a quick question.,how s things just a quick question,"['how', 's', 'things', 'just', 'a', 'quick', 'question']"
77,ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...,die i accidentally deleted e msg i suppose put in e sim archive haiz i so sad,"['die', 'i', 'accidentally', 'deleted', 'e', 'msg', 'i', 'suppose', 'put', 'in', 'e', 'sim', 'archive', 'haiz', 'i', 'so', 'sad']"
78,ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,"['no', 'i', 'didn', 't', 'mean', 'to', 'post', 'it', 'i', 'wrote', 'it', 'and', 'like', 'so', 'many', 'other', 'times', 'i', 've', 'ritten', 'stuff', 'to', 'you', 'i', 'let', 'it', 'sit', 'there', 'it', 'was', 'what', 'i', 'was', 'feeling', 'at', 'the', 'time', 'i', 'was', 'angry', 'before', 'i', 'left', 'i', 'hit', 'send', 'then', 'stop', 'it', 'wasn', 't', 'there', 'i', 'checked', 'on', 'my', 'phone', 'when', 'i', 'got', 'to', 'my', 'car', 'it', 'wasn', 't', 'there', 'you', 'said', 'you', 'didn', 't', 'sleep', 'you', 'were', 'bored', 'so', 'why', 'wouldn', 't', 'that', 'be', 'the', 'time', 'to', 'clean', 'fold', 'laundry', 'etc', 'at', 'least', 'make', 'the', 'bed']"
79,ham,Sorry i missed your call. Can you please call back.,sorry i missed your call can you please call back,"['sorry', 'i', 'missed', 'your', 'call', 'can', 'you', 'please', 'call', 'back']"
80,ham,How are you. Its been ages. How's abj,how are you its been ages how s abj,"['how', 'are', 'you', 'its', 'been', 'ages', 'how', 's', 'abj']"
81,ham,As if i wasn't having enough trouble sleeping.,as if i wasn t having enough trouble sleeping,"['as', 'if', 'i', 'wasn', 't', 'having', 'enough', 'trouble', 'sleeping']"
82,ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,hello they are going to the village pub at so either come here or there accordingly ok,"['hello', 'they', 'are', 'going', 'to', 'the', 'village', 'pub', 'at', 'so', 'either', 'come', 'here', 'or', 'there', 'accordingly', 'ok']"
83,ham,Thnx dude. u guys out 2nite?,thnx dude u guys out nite,"['thnx', 'dude', 'u', 'guys', 'out', 'nite']"
84,phishing,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",noida commercial wave sec silver psf gold psf logix sec psf for best deal call,"['noida', 'commercial', 'wave', 'sec', 'silver', 'psf', 'gold', 'psf', 'logix', 'sec', 'psf', 'for', 'best', 'deal', 'call']"
85,ham,So are you guys asking that i get that slippers again or its gone with last year,so are you guys asking that i get that slippers again or its gone with last year,"['so', 'are', 'you', 'guys', 'asking', 'that', 'i', 'get', 'that', 'slippers', 'again', 'or', 'its', 'gone', 'with', 'last', 'year']"
86,ham,U guys never invite me anywhere :(,u guys never invite me anywhere,"['u', 'guys', 'never', 'invite', 'me', 'anywhere']"
87,phishing,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions send hmv to more info,"['hmv', 'bonus', 'special', 'pounds', 'of', 'genuine', 'hmv', 'vouchers', 'to', 'be', 'won', 'just', 'answer', 'easy', 'questions', 'send', 'hmv', 'to', 'more', 'info']"
88,ham,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,my computer just fried the only essential part we don t keep spares of because my idiot roommates looovvve leaving the thing running on full lt gt,"['my', 'computer', 'just', 'fried', 'the', 'only', 'essential', 'part', 'we', 'don', 't', 'keep', 'spares', 'of', 'because', 'my', 'idiot', 'roommates', 'looovvve', 'leaving', 'the', 'thing', 'running', 'on', 'full', 'lt', 'gt']"
89,ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",hey sexy buns have i told you i adore you loverboy i hope you remember to thank your sister in law for those meatballs grins i love you babe,"['hey', 'sexy', 'buns', 'have', 'i', 'told', 'you', 'i', 'adore', 'you', 'loverboy', 'i', 'hope', 'you', 'remember', 'to', 'thank', 'your', 'sister', 'in', 'law', 'for', 'those', 'meatballs', 'grins', 'i', 'love', 'you', 'babe']"
90,phishing,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",welcome to uk mobile date this msg is free giving you free calling to future mgs billed at p daily to cancel send go stop to,"['welcome', 'to', 'uk', 'mobile', 'date', 'this', 'msg', 'is', 'free', 'giving', 'you', 'free', 'calling', 'to', 'future', 'mgs', 'billed', 'at', 'p', 'daily', 'to', 'cancel', 'send', 'go', 'stop', 'to']"
91,ham,"Velly good, yes please!",velly good yes please,"['velly', 'good', 'yes', 'please']"
92,ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",by march ending i should be ready but will call you for sure the problem is that my capital never complete how far with you how s work and the ladies,"['by', 'march', 'ending', 'i', 'should', 'be', 'ready', 'but', 'will', 'call', 'you', 'for', 'sure', 'the', 'problem', 'is', 'that', 'my', 'capital', 'never', 'complete', 'how', 'far', 'with', 'you', 'how', 's', 'work', 'and', 'the', 'ladies']"
93,phishing,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP,you have won a guaranteed award or even cashto claim ur award call free on stop getstop on php,"['you', 'have', 'won', 'a', 'guaranteed', 'award', 'or', 'even', 'cashto', 'claim', 'ur', 'award', 'call', 'free', 'on', 'stop', 'getstop', 'on', 'php']"
94,ham,Jokin only lar... :-) depends on which phone my father can get lor...,jokin only lar depends on which phone my father can get lor,"['jokin', 'only', 'lar', 'depends', 'on', 'which', 'phone', 'my', 'father', 'can', 'get', 'lor']"
95,ham,I thought slide is enough.,i thought slide is enough,"['i', 'thought', 'slide', 'is', 'enough']"
96,ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,im gonnamissu so much i would say il send u a postcard buttheres aboutas much chance of merememberin asthere is ofsi not breakin his contract luv yaxx,"['im', 'gonnamissu', 'so', 'much', 'i', 'would', 'say', 'il', 'send', 'u', 'a', 'postcard', 'buttheres', 'aboutas', 'much', 'chance', 'of', 'merememberin', 'asthere', 'is', 'ofsi', 'not', 'breakin', 'his', 'contract', 'luv', 'yaxx']"
